datum,id_night,light,noise,temp,hum
23:35:00,106,968,243,20.7,62.0
23:36:00,106,983,261,20.8,63.0
23:37:00,106,956,242,20.9,60.0
23:38:00,106,976,249,20.9,61.0
23:39:00,106,982,250,20.9,60.0
23:40:00,106,985,246,21.0,60.0
23:41:00,106,980,249,21.0,60.0
23:42:00,106,968,262,21.0,60.0
23:43:00,106,952,241,21.0,60.0
23:44:00,106,987,197,21.0,60.0
23:45:00,106,984,217,21.0,60.0
23:46:00,106,981,181,20.9,60.0
23:47:00,106,986,204,20.9,60.0
23:48:00,106,1011,197,20.8,60.0
23:49:00,106,1021,194,20.8,60.0
23:50:00,106,976,204,20.8,60.0
23:51:00,106,989,204,20.8,60.0
23:52:00,106,990,199,20.8,60.0
23:53:00,106,972,212,20.8,61.0
23:54:00,106,992,243,20.8,61.0
23:55:00,106,989,250,20.8,61.0
23:56:00,106,985,217,20.8,61.0
23:57:00,106,991,239,20.8,61.0
23:58:00,106,987,224,20.8,61.0
23:59:00,106,985,222,20.7,61.0
00:00:00,106,984,234,20.7,61.0
00:01:00,106,972,225,20.7,61.0
00:02:00,106,1020,232,20.7,61.0
00:03:00,106,959,241,20.7,61.0
00:04:00,106,990,240,20.7,61.0
00:05:00,106,967,249,20.7,61.0
00:06:00,106,1007,214,20.7,61.0
00:07:00,106,990,251,20.8,61.0
00:08:00,106,1007,229,20.8,61.0
00:09:00,106,955,233,20.7,61.0
00:10:00,106,986,228,20.8,61.0
00:11:00,106,990,220,20.8,61.0
00:12:00,106,985,242,20.8,61.0
00:13:00,106,987,240,20.8,61.0
00:14:00,106,1017,238,20.8,61.0
00:15:00,106,976,258,20.7,61.0
00:16:00,106,980,208,20.7,61.0
00:17:00,106,977,234,20.8,61.0
00:19:00,106,967,221,20.8,61.0
00:20:00,106,974,192,20.7,61.0
00:21:00,106,969,215,20.7,61.0
00:22:00,106,982,189,20.7,61.0
00:23:00,106,986,232,20.8,61.0
00:24:00,106,955,239,20.7,61.0
00:25:00,106,1016,253,20.7,61.0
00:26:00,106,995,223,20.7,61.0
00:27:00,106,985,248,20.7,61.0
00:28:00,106,985,228,20.7,61.0
00:29:00,106,962,243,20.7,61.0
00:30:00,106,1022,235,20.7,61.0
00:31:00,106,978,241,20.7,61.0
00:32:00,106,998,248,20.7,61.0
00:33:00,106,1002,252,20.7,61.0
00:34:00,106,982,251,20.7,61.0
00:35:00,106,1018,248,20.8,61.0
00:36:00,106,1023,271,20.8,61.0
00:37:00,106,984,250,20.8,61.0
00:38:00,106,999,270,20.8,61.0
00:39:00,106,993,260,20.8,61.0
00:40:00,106,991,250,20.8,61.0
00:41:00,106,994,252,20.8,61.0
00:42:00,106,1023,291,20.8,61.0
00:43:00,106,992,254,20.8,61.0
00:44:00,106,1023,257,20.7,61.0
00:45:00,106,1017,257,20.7,61.0
00:46:00,106,1023,271,20.8,61.0
00:47:00,106,997,250,20.8,61.0
00:48:00,106,1023,256,20.8,61.0
00:49:00,106,993,260,20.8,61.0
00:50:00,106,983,262,20.8,61.0
00:51:00,106,1006,248,20.7,61.0
00:52:00,106,974,299,20.7,61.0
00:53:00,106,1014,250,20.8,61.0
00:54:00,106,1006,247,20.7,61.0
00:55:00,106,954,255,20.7,61.0
00:56:00,106,955,275,20.7,61.0
00:57:00,106,1023,250,20.7,61.0
00:58:00,106,1016,250,20.8,61.0
00:59:00,106,992,261,20.8,61.0
01:00:00,106,1001,248,20.8,61.0
01:01:00,106,997,255,20.8,61.0
01:02:00,106,998,294,20.8,61.0
01:03:00,106,1002,249,20.8,61.0
01:04:00,106,1020,253,20.8,61.0
01:05:00,106,1008,246,20.8,61.0
01:06:00,106,1003,273,20.8,61.0
01:07:00,106,988,251,20.8,61.0
01:08:00,106,981,251,20.8,61.0
01:09:00,106,993,260,20.8,61.0
01:10:00,106,1000,253,20.8,61.0
01:11:00,106,998,250,20.8,61.0
01:12:00,106,1000,299,20.8,61.0
01:13:00,106,1000,248,20.7,61.0
01:14:00,106,993,280,20.7,61.0
01:15:00,106,995,293,20.7,61.0
01:16:00,106,972,305,20.7,61.0
01:17:00,106,984,283,20.7,61.0
01:18:00,106,1023,285,20.6,62.0
01:19:00,106,1011,289,20.6,62.0
01:20:00,106,1017,285,20.6,62.0
01:21:00,106,1023,282,20.6,62.0
